Environment,Subject,Action,Start,End
E01,S01,A01,1,7
E01,S01,A01,8,15
E01,S01,A01,16,21
E01,S01,A01,22,27
E01,S01,A01,28,32
E01,S01,A01,33,38
E01,S01,A01,39,44
E01,S01,A01,45,50
E01,S01,A01,51,56
E01,S01,A01,57,62
E01,S01,A01,63,68
E01,S01,A01,69,75
E01,S01,A01,76,80
E01,S01,A01,81,86
E01,S01,A01,87,92
E01,S01,A01,93,98
E01,S01,A01,99,104
E01,S01,A01,105,110
E01,S01,A01,111,116
E01,S01,A01,117,122
E01,S01,A01,123,128
E01,S01,A01,129,134
E01,S01,A01,135,139
E01,S01,A01,140,145
E01,S01,A01,146,152
E01,S01,A01,153,158
E01,S01,A01,159,164
E01,S01,A01,165,170
E01,S01,A01,171,176
E01,S01,A01,177,182
E01,S01,A01,183,188
E01,S01,A01,189,193
E01,S01,A01,194,206
E01,S01,A01,207,211
E01,S01,A01,212,217
E01,S01,A01,218,222
E01,S01,A01,223,229
E01,S01,A01,230,235
E01,S01,A01,236,241
E01,S01,A01,242,247
E01,S01,A01,248,253
E01,S01,A01,254,259
E01,S01,A01,260,265
E01,S01,A01,266,270
E01,S01,A01,271,275
E01,S01,A01,276,281
E01,S01,A01,282,288
E01,S01,A01,289,294
E01,S01,A02,1,24
E01,S01,A02,25,50
E01,S01,A02,51,78
E01,S01,A02,79,105
E01,S01,A02,106,132
E01,S01,A02,133,160
E01,S01,A02,161,188
E01,S01,A02,189,218
E01,S01,A02,219,247
E01,S01,A02,248,277
E01,S01,A02,278,297
E01,S01,A03,1,26
E01,S01,A03,27,52
E01,S01,A03,53,78
E01,S01,A03,79,132
E01,S01,A03,133,159
E01,S01,A03,160,187
E01,S01,A03,188,215
E01,S01,A03,216,242
E01,S01,A03,243,269
E01,S01,A03,270,297
E01,S01,A04,1,11
E01,S01,A04,12,26
E01,S01,A04,27,42
E01,S01,A04,43,56
E01,S01,A04,57,72
E01,S01,A04,73,87
E01,S01,A04,88,104
E01,S01,A04,105,120
E01,S01,A04,121,136
E01,S01,A04,137,151
E01,S01,A04,152,168
E01,S01,A04,169,184
E01,S01,A04,185,201
E01,S01,A04,202,216
E01,S01,A04,217,232
E01,S01,A04,233,248
E01,S01,A04,249,264
E01,S01,A04,265,280
E01,S01,A04,281,297
E01,S01,A05,1,12
E01,S01,A05,13,25
E01,S01,A05,26,39
E01,S01,A05,40,53
E01,S01,A05,54,67
E01,S01,A05,68,81
E01,S01,A05,82,95
E01,S01,A05,96,108
E01,S01,A05,109,122
E01,S01,A05,123,136
E01,S01,A05,137,151
E01,S01,A05,152,165
E01,S01,A05,166,180
E01,S01,A05,181,195
E01,S01,A05,196,210
E01,S01,A05,211,226
E01,S01,A05,227,242
E01,S01,A05,243,258
E01,S01,A05,259,274
E01,S01,A05,275,291
E01,S01,A06,1,9
E01,S01,A06,10,21
E01,S01,A06,22,33
E01,S01,A06,34,45
E01,S01,A06,46,56
E01,S01,A06,57,68
E01,S01,A06,69,79
E01,S01,A06,80,91
E01,S01,A06,92,103
E01,S01,A06,104,114
E01,S01,A06,115,126
E01,S01,A06,127,138
E01,S01,A06,139,150
E01,S01,A06,151,162
E01,S01,A06,163,174
E01,S01,A06,175,187
E01,S01,A06,188,199
E01,S01,A06,200,212
E01,S01,A06,213,225
E01,S01,A06,226,237
E01,S01,A06,238,249
E01,S01,A06,250,261
E01,S01,A06,262,274
E01,S01,A06,275,286
E01,S01,A07,1,16
E01,S01,A07,17,32
E01,S01,A07,33,48
E01,S01,A07,49,65
E01,S01,A07,66,81
E01,S01,A07,82,99
E01,S01,A07,100,116
E01,S01,A07,117,132
E01,S01,A07,133,150
E01,S01,A07,151,168
E01,S01,A07,169,186
E01,S01,A07,187,204
E01,S01,A07,205,222
E01,S01,A07,223,241
E01,S01,A07,242,259
E01,S01,A07,260,278
E01,S01,A07,279,297
E01,S01,A08,1,17
E01,S01,A08,18,33
E01,S01,A08,34,50
E01,S01,A08,51,67
E01,S01,A08,68,84
