Environment,Subject,Action,Start,End,Length
E01,S01,A04,1,11,10
E01,S01,A04,12,26,14
E01,S01,A04,27,42,15
E01,S01,A04,43,56,13
E01,S01,A04,57,72,15
E01,S01,A04,73,87,14
E01,S01,A04,88,104,16
E01,S01,A04,105,120,15
E01,S01,A04,121,136,15
E01,S01,A04,137,151,14
E01,S01,A04,152,168,16
E01,S01,A04,169,184,15
E01,S01,A04,185,201,16
E01,S01,A04,202,216,14
E01,S01,A04,217,232,15
E01,S01,A04,233,248,15
E01,S01,A04,249,264,15
E01,S01,A04,265,280,15
E01,S01,A04,281,297,16
E01,S01,A05,1,12,11
E01,S01,A05,13,25,12
E01,S01,A05,26,39,13
E01,S01,A05,40,53,13
E01,S01,A05,54,67,13
E01,S01,A05,68,81,13
E01,S01,A05,82,95,13
E01,S01,A05,96,108,12
E01,S01,A05,109,122,13
E01,S01,A05,123,136,13
E01,S01,A05,137,151,14
E01,S01,A05,152,165,13
E01,S01,A05,166,180,14
E01,S01,A05,181,195,14
E01,S01,A05,196,210,14
E01,S01,A05,211,226,15
E01,S01,A05,227,242,15
E01,S01,A05,243,258,15
E01,S01,A05,259,274,15
E01,S01,A05,275,291,16
E01,S01,A07,1,16,15
E01,S01,A07,17,32,15
E01,S01,A07,33,48,15
E01,S01,A07,49,65,16
E01,S01,A07,66,81,15
E01,S01,A07,82,99,17
E01,S01,A07,100,116,16
E01,S01,A07,117,132,15
E01,S01,A07,133,150,17
E01,S01,A07,151,168,17
E01,S01,A07,169,186,17
E01,S01,A07,187,204,17
E01,S01,A07,205,222,17
E01,S01,A07,223,241,18
E01,S01,A07,242,259,17
E01,S01,A07,260,278,18
E01,S01,A07,279,297,18
E01,S01,A08,1,17,16
E01,S01,A08,18,33,15
E01,S01,A08,34,50,16
E01,S01,A08,51,67,16
E01,S01,A08,68,84,16
E01,S01,A08,85,101,16
E01,S01,A08,102,119,17
E01,S01,A08,120,137,17
E01,S01,A08,138,155,17
E01,S01,A08,156,173,17
E01,S01,A08,174,190,16
E01,S01,A08,191,207,16
E01,S01,A08,208,225,17
E01,S01,A08,226,242,16
E01,S01,A08,243,260,17
E01,S01,A08,261,277,16
E01,S01,A08,278,293,15
E01,S01,A09,1,23,22
E01,S01,A09,24,37,13
E01,S01,A09,38,52,14
E01,S01,A09,53,67,14
