Environment,Subject,Action,start,end
E01,S01,A07,1,16
E01,S01,A07,17,32
E01,S01,A07,33,48
E01,S01,A07,49,65
E01,S01,A07,66,81
E01,S01,A07,82,99
E01,S01,A07,100,116
E01,S01,A07,117,132
E01,S01,A07,133,150
E01,S01,A07,151,168
E01,S01,A07,169,186
E01,S01,A07,187,204
E01,S01,A07,205,222
E01,S01,A07,223,241
E01,S01,A07,242,259
E01,S01,A07,260,278
E01,S01,A07,279,297
E01,S01,A07,1,17
E01,S01,A07,18,33
E01,S01,A07,34,50
E01,S01,A07,51,67
E01,S01,A07,68,84
E01,S01,A07,85,101
E01,S01,A07,102,119
E01,S01,A07,120,137
E01,S01,A07,138,155
E01,S01,A07,156,173
E01,S01,A07,174,190
E01,S01,A07,191,207
E01,S01,A07,208,225
E01,S01,A07,226,242
E01,S01,A07,243,260
E01,S01,A07,261,277
E01,S01,A07,278,293
E01,S01,A09,1,23
E01,S01,A09,24,37
E01,S01,A09,38,52
E01,S01,A09,53,67
E01,S01,A09,68,82
E01,S01,A09,83,98
E01,S01,A09,99,114
E01,S01,A09,115,129
E01,S01,A09,130,144
E01,S01,A09,145,160
E01,S01,A09,161,175
E01,S01,A09,176,191
E01,S01,A09,192,207
E01,S01,A09,208,223
E01,S01,A09,224,238
E01,S01,A09,239,255
E01,S01,A09,256,272
E01,S01,A09,273,288
E01,S01,A09,1,13
E01,S01,A09,14,29
E01,S01,A09,30,44
E01,S01,A09,45,61
E01,S01,A09,62,75
E01,S01,A09,76,89
E01,S01,A09,90,106
E01,S01,A09,107,121
E01,S01,A09,122,138
E01,S01,A09,139,154
E01,S01,A09,155,170
E01,S01,A09,171,187
E01,S01,A09,188,205
E01,S01,A09,206,222
E01,S01,A09,223,240
E01,S01,A09,241,257
E01,S01,A09,258,275
E01,S01,A09,276,292
E01,S01,A07,1,14
E01,S01,A07,15,31
E01,S01,A07,32,48
E01,S01,A07,49,66
E01,S01,A07,67,82
E01,S01,A07,83,100
E01,S01,A07,101,119
E01,S01,A07,120,137
E01,S01,A07,138,155
E01,S01,A07,156,173
E01,S01,A07,174,192
E01,S01,A07,193,211
E01,S01,A07,212,229
E01,S01,A07,230,247
E01,S01,A07,248,265
E01,S01,A07,266,283
E01,S01,A12,1,15
E01,S01,A12,16,35
E01,S01,A12,36,59
E01,S01,A12,60,79
E01,S01,A12,80,102
E01,S01,A12,103,125
E01,S01,A12,126,149
E01,S01,A12,150,171
E01,S01,A12,172,192
E01,S01,A12,193,213
E01,S01,A12,214,236
E01,S01,A12,237,258
E01,S01,A12,259,279
E01,S01,A12,280,297
E01,S01,A13,1,21
E01,S01,A13,22,35
E01,S01,A13,36,52
E01,S01,A13,53,67
E01,S01,A13,68,82
E01,S01,A13,83,99
E01,S01,A13,100,115
E01,S01,A13,116,131
E01,S01,A13,132,148
E01,S01,A13,149,163
E01,S01,A13,164,179
E01,S01,A13,180,195
E01,S01,A13,196,210
E01,S01,A13,211,226
E01,S01,A13,227,242
E01,S01,A13,243,257
E01,S01,A13,258,271
E01,S01,A13,272,288
E01,S01,A13,11,26
E01,S01,A13,27,43
E01,S01,A13,44,58
E01,S01,A13,59,74
E01,S01,A13,75,90
E01,S01,A13,91,106
E01,S01,A13,107,123
E01,S01,A13,124,141
E01,S01,A13,142,159
E01,S01,A13,160,176
E01,S01,A13,177,193
E01,S01,A13,194,211
E01,S01,A13,212,229
E01,S01,A13,230,247
E01,S01,A13,248,264
E01,S01,A13,265,282
E01,S01,A09,1,18
E01,S01,A09,19,43
E01,S01,A09,44,65
E01,S01,A09,66,89
E01,S01,A09,90,115
E01,S01,A09,116,142
E01,S01,A09,143,168
E01,S01,A09,169,194
E01,S01,A09,195,221
E01,S01,A09,222,248
E01,S01,A09,249,276
E01,S01,A09,1,17
E01,S01,A09,18,39
E01,S01,A09,40,63
E01,S01,A09,64,87
E01,S01,A09,88,112
E01,S01,A09,113,137
E01,S01,A09,138,161
E01,S01,A09,162,187
E01,S01,A09,188,211
E01,S01,A09,212,238
E01,S01,A09,239,262
E01,S01,A09,263,291
E01,S01,A13,1,13
E01,S01,A13,99,110
E01,S01,A13,122,134
E01,S01,A13,135,147
E01,S01,A13,159,170
E01,S01,A13,171,182
E01,S01,A13,183,194
E01,S01,A13,206,217
E01,S01,A13,229,240
E01,S01,A13,252,263
E01,S01,A13,264,275
E01,S01,A13,276,287
E01,S01,A13,1,12
E01,S01,A13,13,24
E01,S01,A13,47,58
E01,S01,A13,70,81
E01,S01,A13,82,93
E01,S01,A13,116,127
E01,S01,A13,128,139
E01,S01,A13,151,162
E01,S01,A13,174,186
E01,S01,A13,231,242
E01,S01,A13,243,254
E01,S01,A13,266,277
